"NIFTY 50","12,108.40","12,172.30","12,099.00","12,107.90","76.40","0.63","4,804.95","16,209.24","12,430.50","10,585.65","11.20","-1.80"
"GAIL","123.45","129.85","123.20","129.00","7.20","5.91","310.56","397.05","183.25","110.45","-60.72","0.08"
"JSWSTEEL","280.05","293.50","278.60","288.65","10.75","3.87","109.58","315.94","314.00","201.75","10.34","3.61"
"INFRATEL","243.00","249.00","241.20","248.00","8.20","3.42","32.06","79.00","333.45","176.35","-23.34","0.63"
"NTPC","114.50","117.55","114.10","116.95","3.45","3.04","209.37","243.10","145.85","106.67","-10.28","-3.94"
"MARUTI","6,950.00","7,089.00","6,912.30","7,026.00","133.10","1.93","7.43","522.86","7,758.70","5,446.05","-2.12","-4.44"
"SBIN","321.05","325.80","321.05","324.50","6.00","1.88","301.89","976.43","373.80","244.35","15.69","-1.89"
"HINDALCO","192.40","196.95","192.00","194.05","3.20","1.68","75.31","146.65","221.20","171.10","-2.71","-8.12"
"POWERGRID","188.50","191.20","188.10","189.60","3.00","1.61","182.57","346.39","216.25","172.50","3.98","-2.67"
"ADANIPORTS","370.50","378.40","369.05","374.05","5.80","1.58","28.37","106.29","430.60","315.75","13.76","-4.18"
"BAJAJ-AUTO","3,125.00","3,150.00","3,100.00","3,150.00","46.70","1.50","2.74","86.17","3,315.15","2,442.20","10.39","1.81"
"CIPLA","447.10","452.00","443.35","451.00","6.25","1.41","18.90","84.79","586.00","389.55","-16.99","-5.58"
"RELIANCE","1,447.40","1,466.20","1,445.05","1,454.50","18.90","1.32","64.00","932.65","1,617.55","1,095.30","16.06","-5.78"
"ULTRACEMCO","4,447.70","4,519.50","4,433.00","4,470.00","56.25","1.27","2.96","132.96","4,904.95","3,367.05","29.59","0.03"
"INDUSINDBK","1,290.00","1,309.90","1,285.05","1,290.30","15.35","1.20","34.56","448.01","1,834.40","1,188.05","-14.61","-16.20"
"DRREDDY","3,159.90","3,205.95","3,135.00","3,185.40","36.30","1.15","6.12","194.81","3,277.60","1,872.95","21.80","7.81"
"AXISBANK","743.00","757.10","742.00","749.65","8.55","1.15","78.46","589.05","827.75","622.65","5.46","1.66"
"ICICIBANK","537.70","544.80","537.50","539.50","5.55","1.04","112.44","608.79","552.20","336.15","54.12","0.17"
"TITAN","1,263.00","1,278.90","1,258.55","1,269.80","12.60","1.00","13.51","171.79","1,389.95","998.00","20.20","9.56"
"HCLTECH","606.00","613.75","605.70","610.95","6.05","1.00","24.59","150.18","618.00","496.50","-43.40","4.17"
"BAJAJFINSV","9,643.50","9,810.00","9,643.50","9,716.10","89.10","0.93","1.96","190.80","9,950.00","5,855.00","59.38","2.76"
"ITC","216.50","216.95","211.80","212.50","1.95","0.93","298.04","637.15","310.00","205.00","-23.31","-11.18"
"TECHM","813.00","821.85","811.05","821.00","7.35","0.90","11.44","93.38","846.50","607.15","1.43","4.47"
"HDFC","2,424.45","2,441.75","2,420.20","2,436.00","21.70","0.90","17.33","421.41","2,499.90","1,820.00","25.04","-1.08"
"UPL","574.40","584.80","569.90","578.45","4.35","0.76","50.97","294.79","709.05","497.85","-28.22","-2.28"
"ZEEL","233.00","237.45","227.75","232.10","1.65","0.72","210.55","491.06","488.95","199.15","-42.22","-12.45"
"BAJFINANCE","4,737.00","4,785.00","4,736.00","4,755.00","33.25","0.70","11.67","555.88","4,785.00","2,506.00","78.95","14.18"
"TATAMOTORS","171.85","175.15","168.40","170.05","1.15","0.68","428.68","739.48","239.35","106.00","11.40","-13.35"
"KOTAKBANK","1,682.45","1,685.80","1,666.55","1,679.45","10.15","0.61","19.15","321.25","1,734.80","1,210.00","29.03","-0.69"
"HEROMOTOCO","2,415.00","2,443.35","2,390.00","2,399.00","13.30","0.56","6.80","164.40","3,022.90","2,225.60","-16.96","1.36"
"VEDL","141.65","143.60","140.20","140.95","0.65","0.46","90.88","129.16","195.10","125.30","-7.36","-12.15"
"COALINDIA","180.00","181.50","176.25","179.40","0.55","0.31","163.98","292.99","271.45","171.05","-18.01","-15.20"
"ASIANPAINT","1,880.00","1,894.50","1,872.75","1,875.00","5.50","0.29","10.93","205.86","1,896.75","1,291.25","30.47","3.88"
"TATASTEEL","448.35","457.70","442.70","445.00","1.20","0.27","168.24","758.85","561.65","320.35","-7.43","-10.24"
"ONGC","107.15","107.65","106.30","106.45","0.25","0.24","209.47","224.13","178.90","101.55","-22.97","-15.15"
"INFY","779.00","779.10","769.20","775.00","1.80","0.23","43.13","333.58","847.00","615.10","1.60","0.19"
"IOC","116.00","117.40","115.70","116.05","0.25","0.22","103.34","120.26","170.75","107.55","-14.57","-8.59"
"GRASIM","760.00","769.00","754.10","758.80","1.25","0.17","33.81","256.99","959.80","633.60","5.88","-0.11"
"WIPRO","240.55","242.90","239.80","241.15","0.25","0.10","27.30","65.84","301.60","232.20","-35.36","-5.36"
"LT","1,292.00","1,298.95","1,284.00","1,286.25","0.95","0.07","22.01","284.32","1,607.00","1,201.10","3.19","-3.63"
"HDFCBANK","1,243.30","1,255.00","1,238.05","1,239.90","-0.40","-0.03","58.07","723.99","1,305.50","1,035.00","-42.05","-3.58"
"HINDUNILVR","2,169.00","2,179.65","2,147.70","2,153.85","-5.45","-0.25","7.78","168.10","2,204.20","1,650.00","19.34","7.97"
"SUNPHARMA","422.00","424.70","416.80","419.00","-1.30","-0.31","46.83","196.82","484.25","344.55","-2.23","-5.76"
"TCS","2,163.00","2,174.80","2,147.60","2,152.70","-9.25","-0.43","13.36","288.23","2,296.20","1,881.30","4.20","-1.72"
"EICHERMOT","19,250.00","19,368.95","18,945.00","18,975.05","-82.20","-0.43","1.30","248.37","23,450.00","15,200.00","-8.57","-6.43"
"NESTLEIND","16,240.00","16,300.05","15,950.00","16,059.00","-113.20","-0.70","0.73","117.86","16,549.45","10,031.65","48.10","9.56"
"BRITANNIA","3,179.95","3,198.80","3,124.20","3,133.00","-22.60","-0.72","5.08","159.94","3,583.75","2,300.00","0.82","2.89"
"M&M","533.20","537.70","522.70","523.90","-4.50","-0.85","54.05","286.22","704.20","502.55","-19.10","-5.60"
"BHARTIARTL","539.50","544.65","532.75","534.10","-4.60","-0.85","65.01","350.44","552.80","272.02","71.08","13.90"
"BPCL","490.80","493.95","480.05","481.20","-4.25","-0.88","39.72","193.65","549.00","308.35","44.24","2.22"
"YESBANK","37.75","38.10","36.70","36.80","-0.75","-2.00","967.92","361.13","286.00","29.00","-78.76","-12.59"
